GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
92,1527,945,84,195,3040,3.4,284,9,10
99,1525,945,82,200,3041,3.4,284,9,10
99,1525,945,82,200,3041,3.4,284,9,10
99,1494,945,82,196,3036,3.4,274,9,10
94,1515,945,82,198,3041,3.4,269,11,10
100,1523,945,82,210,3041,3.4,260,9,10
100,1523,945,82,210,3041,3.4,260,9,10
99,1452,945,84,201,3036,3.4,271,9,10
99,1460,945,85,204,3036,3.4,271,9,10
99,1402,945,84,193,3036,3.4,266,8,10
99,1402,945,84,193,3036,3.4,266,8,10
99,1449,945,83,201,3036,3.4,268,9,10
99,1449,945,83,201,3036,3.4,268,9,10
99,1392,945,85,203,3041,3.4,274,9,10
98,1442,945,84,201,3036,3.4,290,10,10
98,1442,945,84,201,3036,3.4,290,10,10
99,1437,945,84,205,3036,3.4,281,9,10
99,1437,945,84,205,3036,3.4,281,9,10
100,1457,945,84,205,3036,3.4,290,10,10
99,1386,945,83,205,3036,3.4,292,10,10
99,1386,945,83,205,3036,3.4,292,10,10
94,1474,945,83,208,3036,3.4,334,9,10
94,1474,945,83,208,3036,3.4,334,9,10
96,1436,945,83,204,3036,3.4,331,7,10
96,1436,945,83,204,3036,3.4,331,7,10
96,1446,945,84,203,3036,3.4,344,7,10
95,1420,945,84,201,3041,3.4,342,7,10
95,1420,945,84,201,3041,3.4,342,7,10
77,1529,945,83,166,3041,3.4,295,11,10
77,1529,945,83,166,3041,3.4,295,11,10
76,1538,945,80,167,3036,3.4,260,9,10
76,1538,945,80,167,3036,3.4,260,9,10
85,1536,945,80,179,3036,3.4,261,9,10
80,1534,945,80,179,3041,3.4,263,11,10
80,1534,945,80,179,3041,3.4,263,11,10
91,1529,945,81,192,3036,3.4,274,9,10
88,1529,945,83,190,3036,3.4,282,8,10
88,1529,945,83,190,3036,3.4,282,8,10
89,1531,945,81,192,3032,3.4,275,9,10
87,1525,945,84,196,3036,3.4,295,9,10
86,1528,945,83,186,3041,3.4,282,9,10
86,1528,945,83,186,3041,3.4,282,9,10
99,1524,945,83,207,3036,3.4,287,9,10
99,1522,945,83,208,3037,3.4,292,10,10
99,1522,945,83,208,3037,3.4,292,10,10
99,1506,945,82,209,3037,3.4,298,8,10
99,1506,945,82,209,3037,3.4,298,8,10
100,1428,945,84,196,3036,3.4,283,8,10
100,1428,945,84,196,3036,3.4,283,8,10
99,1461,945,84,199,3037,3.4,278,9,10
99,1461,945,84,199,3037,3.4,278,9,10
99,1519,945,84,202,3037,3.4,278,9,10
99,1519,945,84,202,3037,3.4,278,9,10
100,1521,945,82,200,3032,3.4,274,9,10
77,1520,945,84,176,3037,3.4,252,9,10
77,1520,945,84,176,3037,3.4,252,9,10
82,1533,945,83,166,3037,3.4,241,9,10
82,1533,945,83,166,3037,3.4,241,9,10
99,1527,945,83,209,3037,3.4,273,10,10
99,1527,945,83,209,3037,3.4,273,10,10
95,1522,945,82,201,3041,3.4,347,9,10
95,1522,945,82,201,3041,3.4,347,9,10
99,1488,945,83,202,3037,3.4,343,9,10
100,1516,945,82,205,3032,3.4,341,10,10
100,1516,945,82,205,3032,3.4,341,10,10
79,1531,945,83,179,3037,3.4,289,10,10
85,1534,945,81,183,3037,3.4,254,8,10
85,1534,945,81,183,3037,3.4,254,8,10
81,1533,945,81,180,3037,3.4,265,9,10
81,1533,945,81,180,3037,3.4,265,9,10
88,1533,945,81,187,3037,3.4,266,9,10
85,1532,945,81,188,3037,3.4,261,11,10
85,1532,945,81,188,3037,3.4,261,11,10
85,1534,945,83,181,3037,3.4,250,11,10
85,1534,945,83,181,3037,3.4,250,11,10
100,1523,945,83,202,3037,3.4,277,10,10
100,1523,945,83,202,3037,3.4,277,10,10
98,1521,945,82,207,3036,3.4,299,9,10
100,1521,945,82,209,3037,3.4,295,9,10
98,1520,945,84,212,3037,3.4,306,9,10
99,1486,945,84,206,3042,3.4,301,9,10
99,1486,945,84,206,3042,3.4,301,9,10
78,1531,945,81,165,3037,3.4,252,9,10
99,1526,945,83,205,3042,3.4,262,10,10
99,1521,945,82,205,3042,3.4,302,10,10
100,1522,945,83,206,3037,3.4,299,9,10
100,1522,945,83,206,3037,3.4,299,9,10
96,1510,945,83,204,3037,3.4,288,8,10
99,1520,945,84,208,3032,3.4,290,8,10
99,1520,945,84,208,3032,3.4,290,8,10
89,1533,945,82,169,3042,3.4,239,9,10
98,1523,945,83,208,3037,3.4,291,10,10
98,1523,945,83,208,3037,3.4,291,10,10
77,1532,945,81,168,3037,3.4,273,10,10
89,1533,945,83,182,3032,3.4,241,10,10
89,1533,945,83,182,3032,3.4,241,10,10
99,1524,945,83,205,3032,3.4,268,11,10
99,1524,945,83,205,3032,3.4,268,11,10
100,1370,945,82,207,3037,3.4,316,8,10
100,1370,945,82,207,3037,3.4,316,8,10
100,1335,945,84,206,3037,3.4,317,8,10
100,1335,945,84,206,3037,3.4,317,8,10
98,1513,945,82,211,3037,3.4,269,9,10
98,1500,945,84,203,3037,3.4,302,10,10
98,1500,945,84,203,3037,3.4,302,10,10
99,1519,945,85,204,3037,3.4,254,9,10
99,1519,945,85,204,3037,3.4,254,9,10
100,1474,945,84,204,3037,3.4,281,9,10
99,1489,945,84,212,3037,3.4,293,9,10
99,1489,945,84,212,3037,3.4,293,9,10
99,1495,945,85,205,3032,3.4,275,8,10
99,1495,945,85,205,3032,3.4,275,8,10
99,1505,945,84,205,3042,3.4,259,8,10
99,1476,945,82,202,3037,3.4,253,10,10
99,1476,945,82,202,3037,3.4,253,10,10
96,1462,945,83,207,3042,3.4,282,8,10
96,1395,945,84,187,3042,3.4,278,8,10
96,1395,945,84,187,3042,3.4,278,8,10
