Application,Runtime,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,22.938462,13.182,13.259,0.949,14.190,14.190
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,22.951720,13.258,13.190,0.954,14.122,14.122
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,22.964922,13.202,13.255,0.945,14.175,14.175
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,22.978173,13.251,13.338,0.943,14.262,14.262
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,22.991515,13.342,13.306,0.941,14.226,14.226
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.004810,13.295,13.298,0.951,14.230,14.230
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.018130,13.320,13.247,0.930,14.157,14.157
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.031369,13.239,13.308,0.937,14.226,14.226
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.044685,13.317,13.125,0.962,14.034,14.034
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.057802,13.116,13.298,0.937,14.216,14.216
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.071079,13.277,13.258,0.957,14.197,14.197
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.084344,13.265,13.299,0.952,14.231,14.231
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.097657,13.313,13.369,0.937,14.287,14.287
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.111020,13.364,13.307,0.948,14.230,14.230
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.124327,13.307,13.082,0.943,14.005,14.005
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.137395,13.068,13.440,0.956,14.377,14.377
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.151175,13.781,13.315,0.615,13.911,13.911
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.164252,13.076,13.376,0.856,14.211,14.211
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.177639,13.387,13.405,0.862,14.229,14.229
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.190953,13.314,13.444,0.933,14.358,14.358
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.204402,13.449,13.396,0.928,14.305,14.305
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.217791,13.389,13.325,0.936,14.241,14.241
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.231108,13.317,13.336,0.944,14.260,14.260
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.244434,13.326,13.395,0.953,14.329,14.329
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.257836,13.403,13.332,0.945,14.258,14.258
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.271174,13.338,13.373,0.944,14.293,14.293
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.284538,13.363,13.457,0.951,14.387,14.387
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.298236,13.698,13.484,0.709,14.173,14.173
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.311488,13.252,13.380,0.941,14.301,14.301
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.324869,13.381,13.551,0.939,14.471,14.471
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.338419,13.550,13.385,0.941,14.306,14.306
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.351793,13.374,13.384,0.953,14.316,14.316
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.365190,13.397,13.394,0.941,14.313,14.313
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.378575,13.385,13.465,0.947,14.392,14.392
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.392034,13.459,13.444,0.952,14.377,14.377
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.405460,13.426,13.373,0.972,14.324,14.324
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.418935,13.475,13.439,0.869,14.288,14.288
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,23.432311,13.376,13.436,0.931,14.348,14.348
