GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
99.1793,1452.74,945,82.9608,196.124,3030.92,3.58955,236.47,8.65033,10
99,1455,945,67,192,2388,3.5,165,8,10
100,1519,945,68,201,2391,3.5,270,10,10
100,1519,945,68,201,2391,3.5,270,10,10
99,1527,945,71,203,3037,3.5,281,8,10
99,1527,945,71,203,3037,3.5,281,8,10
100,1525,945,73,205,3036,3.5,275,8,10
99,1526,945,73,205,3036,3.5,266,8,10
99,1526,945,73,206,3035,3.5,266,8,10
99,1528,945,74,206,3035,3.5,251,8,10
99,1528,945,74,196,3035,3.5,251,8,10
100,1528,945,77,198,3040,3.5,234,8,10
100,1528,945,75,196,3040,3.5,233,10,10
100,1528,945,75,196,3040,3.5,233,10,10
99,1526,945,78,199,3039,3.5,234,9,10
99,1526,945,78,199,3039,3.5,234,9,10
100,1527,945,77,198,3039,3.5,230,9,10
100,1527,945,77,198,3039,3.5,230,9,10
99,1529,945,78,197,3039,3.5,230,9,10
99,1529,945,78,197,3039,3.5,230,9,10
99,1528,945,79,195,3038,3.5,223,9,10
99,1528,945,79,195,3038,3.5,228,9,10
100,1527,945,77,199,3038,3.5,227,9,10
100,1527,945,77,199,3038,3.5,227,9,10
100,1527,945,80,198,3038,3.5,223,9,10
99,1526,945,80,200,3038,3.5,238,9,10
99,1526,945,80,200,3038,3.5,238,9,10
99,1525,945,79,204,3037,3.5,246,8,10
99,1525,945,79,204,3037,3.5,246,8,10
99,1525,945,81,201,3042,3.5,250,7,10
99,1525,945,81,201,3042,3.5,250,7,10
99,1527,945,79,197,3042,3.6,256,7,10
99,1527,945,79,197,3042,3.6,256,7,10
100,1525,945,82,199,3037,3.6,244,9,10
99,1524,945,81,206,3037,3.6,239,9,10
99,1524,945,81,206,3037,3.6,239,9,10
99,1523,945,82,205,3037,3.6,252,9,10
100,1523,945,80,205,3037,3.6,255,8,10
100,1523,945,80,205,3037,3.6,255,8,10
99,1524,945,82,202,3042,3.6,249,8,10
100,1524,945,82,208,3036,3.6,250,8,10
100,1524,945,82,208,3036,3.6,250,8,10
99,1525,945,81,200,3042,3.6,251,8,10
99,1525,945,81,200,3042,3.6,251,8,10
99,1522,945,81,204,3041,3.6,258,9,10
99,1522,945,81,206,3036,3.6,260,9,10
99,1522,945,81,206,3036,3.6,260,9,10
100,1527,945,83,194,3036,3.6,234,9,10
100,1527,945,83,194,3036,3.6,246,9,10
100,1522,945,82,208,3032,3.6,253,10,10
100,1522,945,82,208,3032,3.6,253,10,10
99,1525,945,83,196,3036,3.6,256,8,10
99,1525,945,83,196,3036,3.6,256,8,10
99,1525,945,81,199,3036,3.6,233,10,10
98,1526,945,82,197,3041,3.6,240,10,10
98,1526,945,82,197,3041,3.6,240,10,10
100,1525,945,83,199,3041,3.6,240,9,10
100,1525,945,83,199,3041,3.6,240,9,10
99,1524,945,81,202,3041,3.6,261,10,10
100,1522,945,84,208,3036,3.6,267,8,10
100,1522,945,84,208,3036,3.6,267,8,10
100,1521,945,82,209,3041,3.6,267,8,10
100,1522,945,82,209,3041,3.6,262,10,10
99,1524,945,85,200,3042,3.6,267,8,10
99,1525,945,85,198,3042,3.6,278,8,10
