GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
99.338,1466.33,945,83.3278,193.93,3033.73,3.72458,231.587,8.68195,10
99,1454,945,65,192,2391,3.7,191,6,10
99,1522,945,70,192,2391,3.7,247,6,10
99,1522,945,70,201,3001,3.7,247,9,10
100,1528,945,71,200,3040,3.7,278,9,10
100,1528,945,71,200,3040,3.7,278,9,10
99,1526,945,76,201,3045,3.7,269,8,10
100,1527,945,76,202,3050,3.7,260,8,10
100,1527,945,76,202,3050,3.7,260,8,10
99,1529,945,75,195,3039,3.7,245,9,10
99,1529,945,75,195,3039,3.7,245,9,10
100,1529,945,78,196,3049,3.7,229,8,10
100,1529,945,78,196,3049,3.7,229,8,10
100,1529,945,76,198,3049,3.7,229,9,10
99,1528,945,77,198,3043,3.7,227,9,10
99,1528,945,77,198,3043,3.7,227,9,10
100,1528,945,79,190,3043,3.7,222,8,10
99,1530,945,79,192,3043,3.7,222,10,10
99,1530,945,79,192,3043,3.7,222,10,10
99,1529,945,78,194,3043,3.7,214,9,10
99,1529,945,78,194,3043,3.7,214,9,10
99,1528,945,79,196,3042,3.7,222,9,10
100,1527,945,79,196,3042,3.7,221,9,10
100,1527,945,79,196,3042,3.7,221,9,10
100,1527,945,82,203,3047,3.7,218,9,10
100,1527,945,82,203,3047,3.7,218,9,10
99,1525,945,80,201,3042,3.7,239,8,10
99,1525,945,80,201,3042,3.7,239,8,10
99,1525,945,82,201,3042,3.7,242,9,10
99,1525,945,82,201,3042,3.7,242,9,10
100,1527,945,80,196,3047,3.7,253,7,10
99,1527,945,80,192,3042,3.7,252,8,10
99,1527,945,80,192,3042,3.7,252,8,10
100,1525,945,83,199,3047,3.7,238,9,10
99,1524,945,83,205,3042,3.7,232,9,10
99,1524,945,83,205,3042,3.7,232,9,10
99,1523,945,82,207,3042,3.7,246,8,10
99,1524,945,83,201,3046,3.7,243,9,10
100,1525,945,82,198,3042,3.7,240,9,10
100,1525,945,82,198,3042,3.7,240,9,10
99,1525,945,84,201,3046,3.7,242,9,10
99,1525,945,81,199,3041,3.7,238,9,10
100,1525,945,82,197,3041,3.7,236,9,10
100,1526,945,83,199,3041,3.7,260,9,10
100,1526,945,83,199,3041,3.7,260,9,10
99,1524,945,84,201,3041,3.7,244,8,10
99,1524,945,84,201,3041,3.7,244,8,10
99,1527,945,84,192,3051,3.7,225,9,10
99,1527,945,84,192,3051,3.7,225,9,10
100,1524,945,83,203,3041,3.7,237,9,10
100,1524,945,83,203,3041,3.7,237,9,10
99,1524,945,84,200,3046,3.7,258,9,10
99,1524,945,84,200,3046,3.7,258,9,10
99,1527,945,82,191,3041,3.7,222,11,10
99,1527,945,82,191,3041,3.7,222,11,10
100,1527,945,84,195,3042,3.7,231,9,10
100,1527,945,85,194,3046,3.7,225,10,10
100,1527,945,85,194,3046,3.7,225,10,10
99,1526,945,85,194,3041,3.7,241,8,10
99,1529,945,83,190,3047,3.7,277,10,10
99,1529,945,83,190,3047,3.7,277,10,10
99,1453,945,85,187,3041,3.7,260,11,10
99,1453,945,85,187,3041,3.7,260,11,10
99,1437,945,85,191,3047,3.7,251,8,10
99,1473,945,84,201,3047,3.7,243,8,10
99,1473,945,84,201,3047,3.7,243,8,10
100,1451,945,83,190,3047,3.7,264,9,10
99,1502,945,83,193,3042,3.7,278,9,10
99,1502,945,83,193,3042,3.7,278,9,10
99,1473,945,83,193,3042,3.7,283,8,10
99,1473,945,83,193,3042,3.7,283,8,10
100,1458,945,85,198,3042,3.7,283,8,10
100,1458,945,85,198,3042,3.7,283,8,10
97,1433,945,83,190,3047,3.7,273,7,10
97,1433,945,83,190,3047,3.7,273,7,10
100,1393,945,85,190,3047,3.7,267,8,10
100,1434,945,84,194,3047,3.7,246,9,10
100,1434,945,84,194,3047,3.7,246,9,10
100,1489,945,85,198,3042,3.7,220,8,10
99,1392,945,85,184,3047,3.7,206,9,10
99,1392,945,85,184,3047,3.7,206,9,10
100,1430,945,85,197,3047,3.7,204,10,10
100,1319,945,84,178,3042,3.7,204,9,10
100,1319,945,84,178,3042,3.7,204,9,10
100,1420,945,85,191,3042,3.7,215,7,10
100,1420,945,85,191,3042,3.7,215,7,10
99,1443,945,86,191,3047,3.7,213,8,10
100,1426,945,84,190,3043,3.7,209,9,10
100,1426,945,84,190,3043,3.7,209,9,10
100,1494,945,85,185,3043,3.7,213,8,10
100,1494,945,85,185,3043,3.7,213,8,10
100,1458,945,85,192,3042,3.7,213,9,10
100,1458,945,85,192,3042,3.7,213,9,10
99,1458,945,83,194,3047,3.7,211,8,10
100,1431,945,83,192,3042,3.7,210,9,10
100,1431,945,83,192,3042,3.7,210,9,10
99,1470,945,83,196,3047,3.7,213,8,10
99,1470,945,83,196,3047,3.7,213,8,10
100,1400,945,85,192,3047,3.7,218,8,10
100,1410,945,85,191,3048,3.7,218,8,10
100,1410,945,85,191,3048,3.7,218,8,10
99,1456,945,85,205,3047,3.7,216,10,10
99,1456,945,85,205,3047,3.7,216,10,10
100,1427,945,86,196,3042,3.7,224,8,10
100,1427,945,86,196,3042,3.7,224,8,10
99,1394,945,83,188,3047,3.7,224,8,10
98,1409,945,84,195,3042,3.7,219,8,10
98,1409,945,84,195,3042,3.7,219,8,10
100,1347,945,85,192,3042,3.7,218,9,10
100,1347,945,85,192,3042,3.7,218,9,10
100,1383,945,83,187,3043,3.7,230,10,10
100,1383,945,83,187,3043,3.7,230,10,10
99,1413,945,85,185,3047,3.7,229,8,10
99,1413,945,85,185,3047,3.7,229,8,10
97,1286,945,83,172,3042,3.7,230,8,10
97,1286,945,83,172,3042,3.7,230,8,10
97,1479,945,87,202,3042,3.7,270,6,10
97,1412,945,84,192,3042,3.7,275,7,10
97,1412,945,84,192,3042,3.7,275,7,10
96,1481,945,85,200,3042,3.7,283,8,10
96,1481,945,85,200,3042,3.7,283,8,10
97,1465,945,86,199,3042,3.7,282,6,10
97,1465,945,86,199,3042,3.7,282,6,10
100,1355,945,83,184,3047,3.7,254,9,10
99,1441,945,83,194,3042,3.7,240,10,10
99,1441,945,83,194,3042,3.7,240,10,10
100,1397,945,83,184,3042,3.7,240,9,10
100,1479,945,85,193,3043,3.7,235,10,10
100,1479,945,85,193,3043,3.7,235,10,10
100,1490,945,83,197,3042,3.7,231,8,10
100,1415,945,85,183,3043,3.7,218,8,10
100,1462,945,85,193,3042,3.7,214,9,10
100,1492,945,84,191,3043,3.7,232,9,10
100,1422,945,83,189,3043,3.7,216,10,10
100,1422,945,83,189,3043,3.7,216,10,10
100,1378,945,84,192,3042,3.7,216,7,10
100,1444,945,85,196,3043,3.7,221,8,10
100,1444,945,85,196,3043,3.7,221,8,10
99,1459,945,84,195,3042,3.7,223,8,10
99,1439,945,85,194,3042,3.7,225,9,10
99,1439,945,85,194,3042,3.7,225,9,10
97,1439,945,85,197,3042,3.7,219,9,10
97,1439,945,85,197,3042,3.7,219,9,10
99,1418,945,85,198,3047,3.7,226,9,10
99,1418,945,85,198,3047,3.7,226,9,10
100,1383,945,85,190,3042,3.7,232,9,10
99,1307,945,83,178,3042,3.7,245,9,10
99,1307,945,83,178,3042,3.7,245,9,10
97,1475,945,85,197,3042,3.7,279,9,10
96,1499,945,85,203,3042,3.7,283,7,10
96,1499,945,85,203,3042,3.7,283,7,10
96,1412,945,85,180,3042,3.7,293,7,10
95,1478,945,85,195,3042,3.7,326,8,10
95,1478,945,85,195,3042,3.7,326,8,10
100,1475,945,85,192,3042,3.7,282,7,10
100,1475,945,85,192,3042,3.7,282,7,10
99,1471,945,85,186,3042,3.7,252,9,10
100,1460,945,85,185,3042,3.7,249,11,10
100,1460,945,85,185,3042,3.7,249,11,10
99,1490,945,85,188,3042,3.7,252,8,10
99,1490,945,85,188,3042,3.7,252,8,10
99,1447,945,83,185,3042,3.7,238,10,10
99,1447,945,83,185,3042,3.7,238,10,10
100,1462,945,86,194,3042,3.7,238,9,10
100,1457,945,82,192,3042,3.7,237,9,10
100,1457,945,82,192,3042,3.7,237,9,10
100,1465,945,85,199,3037,3.7,235,9,10
100,1465,945,85,199,3037,3.7,235,9,10
99,1480,945,85,193,3037,3.7,236,8,10
99,1510,945,85,199,3038,3.7,236,9,10
99,1510,945,85,199,3038,3.7,236,9,10
100,1456,945,85,198,3042,3.7,228,9,10
100,1456,945,85,198,3042,3.7,228,9,10
100,1406,945,85,200,3042,3.7,222,8,10
100,1406,945,85,200,3042,3.7,222,8,10
100,1436,945,83,199,3042,3.7,216,8,10
100,1428,945,85,197,3037,3.7,215,8,10
100,1428,945,85,197,3037,3.7,215,8,10
99,1457,945,85,190,3042,3.7,215,9,10
99,1457,945,85,190,3042,3.7,215,9,10
100,1515,945,85,197,3042,3.7,216,9,10
100,1511,945,84,194,3037,3.7,221,9,10
99,1526,945,85,195,3037,3.7,235,9,10
99,1526,945,85,195,3042,3.7,235,8,10
99,1520,945,84,198,3037,3.7,235,10,10
99,1520,945,84,198,3037,3.7,235,10,10
98,1463,945,83,195,3037,3.7,239,9,10
99,1455,945,84,195,3042,3.7,264,10,10
100,1455,945,85,193,3042,3.7,260,9,10
100,1455,945,85,193,3042,3.7,260,9,10
99,1463,945,83,192,3042,3.7,236,9,10
99,1463,945,83,192,3042,3.7,236,9,10
99,1516,945,84,196,3037,3.7,238,9,10
100,1514,945,85,194,3037,3.7,242,10,10
100,1514,945,85,194,3037,3.7,242,10,10
99,1429,945,85,191,3042,3.7,237,8,10
100,1492,945,83,191,3042,3.7,239,9,10
100,1492,945,83,191,3042,3.7,239,9,10
99,1460,945,83,190,3042,3.7,226,9,10
99,1443,945,85,194,3047,3.7,220,9,10
99,1443,945,85,194,3047,3.7,220,9,10
100,1496,945,83,197,3042,3.7,227,10,10
100,1513,945,85,198,3042,3.7,229,9,10
100,1513,945,85,198,3042,3.7,229,9,10
100,1524,945,86,199,3042,3.7,230,9,10
100,1524,945,86,199,3042,3.7,230,9,10
100,1417,945,85,188,3042,3.7,225,9,10
100,1417,945,85,188,3042,3.7,225,9,10
100,1397,945,85,180,3042,3.7,225,9,10
99,1492,945,85,189,3042,3.7,218,9,10
99,1492,945,85,189,3042,3.7,218,9,10
100,1478,945,85,195,3037,3.7,229,10,10
100,1478,945,85,195,3037,3.7,229,10,10
99,1518,945,83,199,3042,3.7,233,8,10
99,1518,945,83,199,3042,3.7,233,8,10
99,1498,945,84,197,3047,3.7,232,10,10
100,1525,945,84,193,3042,3.7,215,10,10
100,1525,945,84,193,3042,3.7,215,10,10
99,1484,945,83,193,3042,3.7,221,9,10
99,1484,945,83,193,3042,3.7,221,9,10
99,1486,945,83,192,3042,3.7,228,9,10
99,1486,945,83,192,3042,3.7,228,9,10
100,1526,945,85,196,3042,3.7,219,11,10
100,1526,945,85,196,3042,3.7,219,11,10
100,1481,945,84,205,3042,3.7,226,8,10
100,1481,945,84,205,3042,3.7,226,8,10
99,1301,945,83,185,3042,3.7,256,8,10
100,1332,945,85,196,3042,3.7,243,9,10
100,1332,945,85,196,3042,3.7,243,9,10
100,1432,945,82,185,3042,3.8,244,7,10
100,1432,945,82,185,3042,3.8,244,7,10
100,1513,945,85,199,3042,3.8,211,9,10
99,1462,945,83,193,3037,3.8,235,8,10
99,1462,945,83,193,3037,3.8,235,8,10
100,1524,945,84,196,3037,3.8,208,9,10
100,1524,945,84,196,3037,3.8,208,9,10
99,1523,945,85,201,3042,3.8,212,10,10
99,1523,945,85,201,3042,3.8,212,10,10
100,1456,945,83,195,3037,3.8,235,9,10
100,1456,945,83,195,3037,3.8,235,9,10
99,1496,945,82,194,3042,3.8,213,8,10
100,1522,945,83,196,3042,3.8,208,8,10
100,1522,945,83,196,3042,3.8,208,8,10
100,1481,945,84,187,3037,3.8,208,8,10
99,1477,945,86,195,3042,3.8,205,9,10
99,1477,945,86,195,3042,3.8,205,9,10
100,1458,945,85,190,3042,3.8,237,7,10
100,1477,945,85,193,3042,3.8,240,7,10
100,1423,945,83,189,3042,3.8,221,9,10
100,1423,945,83,189,3042,3.8,221,9,10
99,1441,945,83,194,3047,3.8,226,7,10
100,1449,945,84,195,3042,3.8,235,8,10
100,1426,945,85,192,3042,3.8,235,8,10
100,1430,945,83,196,3042,3.8,232,8,10
100,1430,945,83,196,3042,3.8,232,8,10
100,1459,945,83,196,3042,3.8,209,7,10
100,1459,945,83,196,3042,3.8,209,7,10
100,1419,945,85,192,3041,3.8,212,8,10
100,1431,945,83,196,3042,3.8,212,8,10
100,1431,945,83,196,3042,3.8,212,8,10
100,1483,945,83,203,3042,3.8,210,8,10
100,1461,945,83,194,3042,3.8,217,9,10
99,1455,945,85,193,3041,3.8,220,10,10
98,1475,945,83,200,3047,3.8,218,8,10
98,1475,945,83,200,3047,3.8,218,8,10
100,1375,945,83,184,3042,3.8,200,8,10
99,1466,945,85,184,3042,3.8,227,8,10
99,1466,945,85,189,3042,3.8,227,10,10
100,1442,945,85,189,3042,3.8,212,10,10
100,1406,945,85,195,3042,3.8,191,9,10
100,1406,945,85,195,3042,3.8,191,9,10
100,1399,945,83,185,3042,3.8,201,9,10
99,1432,945,83,189,3042,3.8,216,11,10
99,1432,945,83,189,3042,3.8,216,11,10
100,1431,945,85,187,3037,3.8,226,9,10
100,1431,945,85,187,3037,3.8,226,9,10
100,1493,945,86,198,3042,3.8,199,10,10
100,1493,945,86,198,3042,3.8,199,10,10
100,1504,945,85,200,3042,3.8,210,8,10
99,1460,945,84,194,3042,3.8,206,9,10
99,1460,945,84,194,3042,3.8,206,9,10
99,1496,945,84,192,3042,3.8,213,9,10
99,1496,945,84,192,3042,3.8,213,9,10
100,1475,945,85,194,3042,3.8,227,8,10
100,1475,945,85,194,3042,3.8,227,8,10
99,1467,945,85,196,3042,3.8,205,9,10
99,1468,945,85,202,3042,3.8,198,8,10
100,1474,945,85,194,3037,3.8,216,9,10
100,1474,945,85,194,3037,3.8,216,9,10
100,1476,945,86,195,3037,3.8,206,9,10
100,1476,945,86,195,3037,3.8,206,9,10
99,1383,945,85,186,3042,3.8,220,8,10
100,1448,945,83,196,3042,3.8,231,10,10
100,1448,945,83,196,3042,3.8,231,10,10
100,1471,945,85,196,3047,3.8,206,8,10
100,1471,945,85,196,3047,3.8,206,8,10
100,1459,945,83,191,3037,3.8,206,8,10
99,1442,945,85,198,3042,3.8,206,8,10
99,1442,945,85,198,3042,3.8,206,8,10
99,1407,945,86,188,3042,3.8,213,8,10
99,1407,945,86,188,3042,3.8,213,8,10
99,1422,945,85,195,3042,3.8,230,9,10
99,1422,945,85,195,3042,3.8,230,9,10
99,1500,945,84,204,3042,3.8,202,9,10
